//===== rAthena Script =======================================
//= Izlude Warp Script
//===== By: ==================================================
//= Athena (1.0), Nana (1.1)
//===== Current Version: =====================================
//= 1.4
//===== Compatible With: =====================================
//= rAthena Project
//===== Description: =========================================
//= Warp Points for Izlude
//===== Additional Comments: =================================
//= 1.3 Added warps to Izlude Airship [Justin84]
//= 1.4 Minor correction on airport warps
//============================================================

//= Izlude City ==============================================
//izlude,109,151,0	warp	iz01	3,3,izlude_in,65,87
//izlude,148,148,0	warp	iz02	2,2,izlude_in,116,49
//izlude,216,129,0	warp	iz03	3,2,izlude_in,151,127
//izlude,30,78,0	warp	iz001	3,3,prt_fild08,367,212
//izlude,52,140,0	warp	iz04	2,2,izlude_in,74,161
//izlude_in,108,169,0	warp	iz05	2,3,izlude_in,84,169
//izlude_in,116,46,0	warp	iz02-1	3,2,izlude,145,145
//izlude_in,148,127,0	warp	iz03-1	2,5,izlude,212,129
//izlude_in,171,97,0	warp	iz06	3,2,izlude_in,172,119
//izlude_in,172,116,0	warp	iz06-1	3,2,izlude_in,172,94
//izlude_in,172,139,0	warp	iz07	3,2,izlude_in,172,161
//izlude_in,172,158,0	warp	iz07-1	3,2,izlude_in,172,136
//izlude_in,43,169,0	warp	w219	2,3,izlude_in,64,169
//izlude_in,65,84,0	warp	iz01-1	5,2,izlude,113,147
//izlude_in,74,158,0	warp	iz04-1	3,2,izlude,52,136
//izlude_in,87,169,0	warp	iz05-1	2,3,izlude_in,111,169
//izlude,149,39,0	warp	izair1	1,1,izlude,182,56
//izlude,176,56,0	warp	lizair2	1,1,izlude,145,40

prt_fild08,371,212,0	warp	prtf005	3,3,izlude,24,98
izlude,20,98,0	warp	iz001	3,3,prt_fild08,367,212
izlude_in,116,46,0	warp	iz02-1	3,2,izlude,128,98
izlude,110,182,0	warp	iz01	2,2,izlude_in,65,87
izlude_in,65,84,0	warp	iz01-1	2,2,izlude,112,179
izlude,52,172,0	warp	iz04	2,2,izlude_in,74,161
izlude_in,74,158,0	warp	iz04-1	3,2,izlude,52,168
izlude_in,43,169,0	warp	w219	2,3,izlude_in,63,169
izlude_in,87,169,0	warp	iz05-1	2,3,izlude_in,111,169
izlude_in,108,169,0	warp	iz05	2,3,izlude_in,84,169
izlude_in,148,127,0	warp	iz03-1	2,5,izlude,210,161
izlude_in,172,139,0	warp	iz07	3,2,izlude_in,172,161
izlude_in,172,158,0	warp	iz07-1	3,2,izlude_in,172,136
izlude_in,172,116,0	warp	iz06-1	3,2,izlude_in,172,94
izlude_in,171,97,0	warp	iz06	3,2,izlude_in,172,119

//= Izlude Academy ===========================================
izlude,125,257,0	warp	#to_ac01	2,2,iz_ac01,99,29
izlude,130,257,0	warp	#to_ac02	2,2,iz_ac01,99,29
iz_ac01,100,24,0	warp	#to_ac01-1	2,2,izlude,127,253
iz_ac01,78,25,0	warp	#to_ac2f01	2,2,iz_ac02,207,27
iz_ac01,122,25,0	warp	#to_ac2f02	2,2,iz_ac02,207,27
iz_ac02,198,27,0	warp	#to_ac1f01	2,2,iz_ac01,78,28
iz_ac02,217,27,0	warp	#to_ac1f02	2,2,iz_ac01,122,28
new_1-3,96,176,0	warp	#to_ac01-2	1,1,iz_ac01,49,73


//= Izlude Academy Floor 2 Warps and Duplicates =================

//= Izlude Academy Floor 2 Swordsman ============================
